"","Primer_comb_ID","superkingdom","phylum","class","order","family","genus","species","Taxonomic_ID","Accession_18S"
"1","Euk_18S_01",1,14,37,86,171,262,529,529,529
"2","Euk_18S_02",0,11,20,48,66,79,103,104,107
"3","Euk_18S_03",0,3,23,53,86,148,333,333,347
"4","Euk_18S_04",0,0,0,0,2,6,34,34,126
"5","Euk_18S_05",0,0,3,8,25,40,71,71,77
"6","Euk_18S_06",0,0,0,0,0,0,1,1,47
"7","Euk_18S_07",0,1,3,17,45,56,192,192,207
"8","Euk_18S_08",0,1,5,20,34,50,106,107,145
"9","Euk_18S_09",1,2,6,19,26,39,98,98,124
"10","Euk_18S_10",0,2,8,24,114,202,377,377,383
"11","Euk_18S_11",0,2,5,14,16,39,95,95,111
"12","Euk_18S_12",0,2,2,7,32,51,151,151,162
"13","Euk_18S_13",0,4,0,7,14,28,54,54,64
"14","Euk_18S_14",0,0,1,8,45,104,145,145,156
"15","Euk_18S_15",0,0,0,0,0,1,2,2,36
"16","Euk_18S_16",0,0,1,10,18,39,116,116,134
"17","Euk_18S_17",0,0,1,5,18,37,85,85,100
"18","Euk_18S_18",0,0,0,0,0,0,0,0,0
"19","Euk_18S_19",0,0,0,1,1,6,17,17,50
"20","Euk_18S_20",0,0,2,11,27,50,97,97,115
"21","Euk_18S_21",0,0,1,5,9,15,26,26,49
